Time,SO2,H2S,H2,CO2serial,CO2_Corre,Ext,Rh,Tair,Pressure,Lat,Long,VBatt,H2Scor,H2cor,,,
13/07/2018 19:26,1.090988,-0.1244717,7.66867,470.0933,32.4433,18.78955,47.24299,25.35909,808.2,13.43291,-88.26957,13.00146,-0.0721717,2.62767,,,
13/07/2018 19:26,1.089005,-0.1313944,7.533691,466.7765,29.1265,18.84489,47.07861,25.35905,808.2,13.43292,-88.26957,13.00146,-0.0790944,2.492691,,,
13/07/2018 19:26,1.083866,-0.1241932,7.41655,464.9673,27.3173,18.77802,46.91439,25.3578,808.2,13.43293,-88.26957,13.00146,-0.0718932,2.37555,,,
13/07/2018 19:26,1.067864,-0.123394,7.462746,464.0628,26.4128,18.82171,46.75904,25.35725,808.2,13.43294,-88.26958,13.00146,-0.071094,2.421746,,,
13/07/2018 19:26,1.047257,-0.1291218,7.368294,463.4597,25.8097,18.85427,46.61482,25.35696,808.2,13.43295,-88.26958,12.95261,-0.0768218,2.327294,,,
13/07/2018 19:26,1.022495,-0.1258154,7.269905,464.0628,26.4128,18.93275,46.47673,25.35664,808.2,13.43296,-88.26958,12.95261,-0.0735154,2.228905,,,
13/07/2018 19:26,1.011707,-0.1262302,7.088478,464.3642,26.7142,19.00305,46.34626,25.35601,808.2,13.43296,-88.26958,12.95261,-0.0739302,2.047478,,,
13/07/2018 19:26,1.003323,-0.1307344,6.995086,464.6658,27.0158,19.0846,46.21136,25.35516,808.2,13.43297,-88.26958,12.95261,-0.0784344,1.954086,,,
13/07/2018 19:26,0.9925308,-0.1299982,6.828895,460.4444,22.7944,19.11309,46.08524,25.35493,808.2,13.43298,-88.26959,12.95261,-0.0776982,1.787895,,,
13/07/2018 19:26,0.987873,-0.128664,6.804195,458.6353,20.9853,19.03324,45.97048,25.35563,808.2,13.43299,-88.26959,12.95261,-0.076364,1.763195,,,
13/07/2018 19:26,0.9774666,-0.1385918,6.915737,459.5398,21.8898,19.10768,45.86532,25.35554,808.2,13.433,-88.26959,12.95261,-0.0862918,1.874737,,,
13/07/2018 19:26,0.9734764,-0.1389113,6.806553,457.7307,20.0807,19.0791,45.76549,25.35442,808.2,13.43301,-88.2696,12.95261,-0.0866113,1.765553,,,
13/07/2018 19:26,0.9779778,-0.1324835,6.80344,461.952,24.302,19.06848,45.66341,25.35395,808.2,13.43302,-88.2696,13.02113,-0.0801835,1.76244,,,
13/07/2018 19:26,0.9938202,-0.1299944,6.782257,460.746,23.096,19.00178,45.58798,25.35416,808.1,13.43303,-88.26961,13.02113,-0.0776944,1.741257,,,
13/07/2018 19:26,1.010265,-0.1180162,6.576508,458.6353,20.9853,19.06216,45.51582,25.35346,808.1,13.43304,-88.26961,13.02113,-0.0657162,1.535508,,,
13/07/2018 19:26,1.037468,-0.1094513,6.909275,455.9215,18.2715,18.95035,45.46409,25.35278,808.1,13.43305,-88.26962,13.02113,-0.0571513,1.868275,,,
13/07/2018 19:26,1.0466,-0.122076,6.84005,455.9215,18.2715,19.03511,45.43657,25.35285,808.1,13.43305,-88.26962,13.02113,-0.069776,1.79905,,,
13/07/2018 19:26,1.060856,-0.1251268,7.039749,452.9062,15.2562,19.03332,45.43331,25.35297,808,13.43306,-88.26962,13.02113,-0.0728268,1.998749,,,
13/07/2018 19:26,1.059887,-0.1086693,7.07357,457.7307,20.0807,19.07306,45.46421,25.35283,808,13.43307,-88.26963,13.02113,-0.0563693,2.03257,,,
13/07/2018 19:26,1.055721,-0.1110239,7.07835,456.8261,19.1761,18.96613,45.50084,25.35127,808.1,13.43307,-88.26964,13.02113,-0.0587239,2.03735,,,
13/07/2018 19:26,1.046982,-0.1037264,6.877194,455.0169,17.3669,19.0059,45.54388,25.35143,808.1,13.43308,-88.26965,12.95268,-0.0514264,1.836194,,,
13/07/2018 19:26,1.039967,-0.1030169,6.867538,458.0322,20.3822,19.05954,45.58147,25.35135,808.1,13.43309,-88.26966,12.95268,-0.0507169,1.826538,,,
13/07/2018 19:26,1.03183,-0.111949,6.813335,459.8414,22.1914,18.96837,45.59864,25.35215,808.1,13.43309,-88.26966,12.95268,-0.059649,1.772335,,,
13/07/2018 19:27,1.022167,-0.09150219,7.143715,461.6505,24.0005,18.97139,45.6025,25.35165,808.1,13.4331,-88.26966,12.95268,-0.03920219,2.102715,,,
13/07/2018 19:27,1.009903,-0.1080618,6.937599,462.5551,24.9051,18.48058,45.59677,25.35163,808.2,13.43311,-88.26966,12.95268,-0.0557618,1.896599,,,
13/07/2018 19:27,0.9926033,-0.103796,7.063591,462.8566,25.2066,18.81495,45.5759,25.35127,808.2,13.43312,-88.26966,12.95268,-0.051496,2.022591,,,
13/07/2018 19:27,0.9878807,-0.1157208,7.013584,461.6505,24.0005,19.03048,45.53588,25.35165,808.1,13.43313,-88.26967,12.95268,-0.0634208,1.972584,,,
13/07/2018 19:27,0.976326,-0.1116371,6.939862,462.2536,24.6036,19.17014,45.48654,25.35141,808.1,13.43314,-88.26967,12.95268,-0.0593371,1.898862,,,
13/07/2018 19:27,0.9648476,-0.1040936,6.862575,463.7612,26.1112,19.22814,45.44381,25.3502,808.2,13.43314,-88.26967,13.00162,-0.0517936,1.821575,,,
